image_url,movie_cast,movie_description,movie_director,movie_hero,movie_rating,movie_title,movie_votes,movie_year,rank
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwNTI3OTczOV5BMl5BanBnXkFtZTcwMTM3MTUyMw@@._V1._SY209_CR0,0,140,209_.jpg"," Ricardo DarÃ­n, Soledad Villamil, Pablo Rago, Carla Quevedo",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later. (129 mins.), Juan JosÃ© Campanella, Ricardo DarÃ­n,8.2,The Secret in Their Eyes,148439.0,(2009),68
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NjI2MjU0Nl5BMl5BanBnXkFtZTgwNDk3ODYxMTE@._V1._SY209_CR0,0,140,209_.jpg"," Tom Cruise, Jon Voight, Emmanuelle BÃ©art, Henry Czerny","An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization. (110 mins.)", Brian De Palma, Tom Cruise,7.1,Mission: Impossible,321817.0,(1996),69
"https://images-na.ssl-images-amazon.com/images/M/MV5BOWVkYzliZGEtODIxMi00MDQwLThjMDAtNzI3M2NjYjg4NDE5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1._SY209_CR0,0,140,209_.jpg"," Robert De Niro, Jean Reno, Natascha McElhone, Stellan SkarsgÃ¥rd",A freelancing former U.S. intelligence agent tries to track down a mysterious package that is wanted by both the Irish and the Russians. (122 mins.), John Frankenheimer, Robert De Niro,7.3,Ronin,152355.0,(1998),70
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3NjUxMzM5NV5BMl5BanBnXkFtZTcwMzQ1NjQzMw@@._V1._SY209_CR0,0,140,209_.jpg"," Johnny Depp, Helena Bonham Carter, Alan Rickman, Timothy Spall","The infamous story of Benjamin Barker, a.k.a. Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical. (116 mins.)", Tim Burton, Johnny Depp,7.4,Sweeney Todd: The Demon Barber of Fleet Street,300508.0,(2007),71
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4NzQ0OTYyOF5BMl5BanBnXkFtZTcwMDkyNjQyMg@@._V1._SY209_CR0,0,140,209_.jpg"," Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris. (93 mins.)", Pierre Morel, Liam Neeson,7.8,Taken,507947.0,(2008),72
"https://images-na.ssl-images-amazon.com/images/M/MV5BYzFjNzIxMmEtMzY5NS00YTgzLTkwYWEtN2FjMmY0NmNkZWY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1._SX140_CR0,0,140,209_.jpg"," John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola","In order to foil an extortion plot, an FBI agent undergoes a facial transplant surgery and assumes the identity and physical appearance of a terrorist, but the plan turns from bad to worse when the same terrorist impersonates the FBI agent. (138 mins.)", John Woo, John Travolta,7.3,Face/Off,300805.0,(1997),73
"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0MDM4ODM0Ml5BMl5BanBnXkFtZTYwNDE3MjU3._V1._SY209_CR0,0,140,209_.jpg"," Tom Hanks, Tyler Hoechlin, Rob Maxey, Liam Aiken",Bonds of loyalty are put to the test when a hitman's son witnesses what his father does for a living. (117 mins.), Sam Mendes, Tom Hanks,7.7,Road to Perdition,213055.0,(2002),74
"https://images-na.ssl-images-amazon.com/images/M/MV5BNzNlMjhmMjEtMGRhMC00YmZlLThiZmMtMGUxZmU5OGUzNTg3XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1._SY209_CR1,0,140,209_.jpg"," Kseniya Rappoport, Michele Placido, Claudia Gerini, Piera Degli Esposti","Haunted by a horrible past, a Ukrainian young woman calculatedly insinuates herself into the life of a rich Italian family. (118 mins.)", Giuseppe Tornatore, Kseniya Rappoport,7.5,The Unknown Woman,10648.0,(2006),75
"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MDYzNDE1OV5BMl5BanBnXkFtZTcwNDY2OTYwNA@@._V1._SY209_CR0,0,140,209_.jpg"," Cary Elwes, Leigh Whannell, Danny Glover, Ken Leung","Two strangers awaken in a room with no recollection of how they got there or why, and soon discover they are pawns in a deadly game perpetrated by a notorious serial killer. (103 mins.)", James Wan, Cary Elwes,7.7,Saw,320745.0,(2004),76
"https://images-na.ssl-images-amazon.com/images/M/MV5BOWE3MzIyNmEtMzhmMS00ZDMxLTkyZDYtMmVkOTI4NTBhZTllXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1._SX140_CR0,0,140,209_.jpg"," Scarlett Johansson, Jonathan Rhys Meyers, Emily Mortimer, Matthew Goode","At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law. (124 mins.)", Woody Allen, Scarlett Johansson,7.7,Match Point,178154.0,(2005),77
